AssetID,DatasetID,FileName,RelativePath,CloudURI,FileFormat,AssetType,FileSizeBytes,RowCount,ColumnCount,SHA256,Status
1,DS002,us_chronic_disease_indicators.csv,raw/cdc_chronic_disease_indicators/us_chronic_disease_indicators.csv,,CSV,raw file,111334061,398793,34,661bb74149613265877d2bb9544e7b99fb29177f07cad2fc68aefc6d8f101f78,Stored
2,DS001,places_county_2025.csv,raw/cdc_places_county/places_county_2025.csv,,CSV,raw file,53396904,229298,22,2dc8d4ae93543a217973bdc2d774855134ca01d8adf00c77a082acc4b8ce3377,Stored
3,DS006,acs5_2024_S0101_age_and_sex_county.csv,raw/census_acs_5year/acs5_2024_S0101_age_and_sex_county.csv,,CSV,raw file,10406154,3222,917,303bf4368341281a930eb9f872b1c0894f6e6946fb7bc3856c1e96e1a0aff27b,Stored
4,DS008,acs5_2024_S1701_poverty_county.csv,raw/census_acs_5year/acs5_2024_S1701_poverty_county.csv,,CSV,raw file,7796442,3222,749,c252b24288a633a3235eb786ebc0b9ced08d6d272b5eb3098ac86b2af8331113,Stored
5,DS007,acs5_2024_S1901_income_county.csv,raw/census_acs_5year/acs5_2024_S1901_income_county.csv,,CSV,raw file,3215603,3222,261,e9821353d890b66532c5651f6042022a99bb4792ea6c9f22a7c12c1ce9e17b6a,Stored
6,DS009,acs5_2024_S2701_health_insurance_county.csv,raw/census_acs_5year/acs5_2024_S2701_health_insurance_county.csv,,CSV,raw file,10879359,3222,1225,dc2989703b7c21d381dc5c5261c7f5c7ec2143399fe979c5da71f824a5c4808b,Stored
7,DS003,county_health_rankings_2025.xlsx,raw/county_health_rankings/county_health_rankings_2025.xlsx,,XLSX,raw file,16002176,,,29775f15f4c1598fc644d79993d119eb84cc53b41e60ebc09dd8f04214c49bd2,Stored
8,DS004,county_health_rankings_analytic_2025.csv,raw/county_health_rankings/county_health_rankings_analytic_2025.csv,,CSV,raw file,13085361,3205,796,5a129b856489fe6646013d7fcf85397dd576f6d67a65f5db72738a1df29643de,Stored
9,DS005,county_health_rankings_data_dictionary_2025.xlsx,raw/county_health_rankings/county_health_rankings_data_dictionary_2025.xlsx,,XLSX,raw file,29136,,,b98c728a120f129527e98038b9468a79c8a1dddddc4e96913588a018a1dbc115,Stored
10,DS010,chr_2025_national_report.pdf,raw/unstructured_documents/chr_2025_national_report.pdf,,PDF,unstructured document,14580902,,,1d2e55927cd5bab403a60b2cc2156afd6558e3629af1fa706b996ccfcbef328b,Stored
