DatasetID,DatasetName,SourceOrganization,SourceURL,DataClassification,GeographicLevel,TimePeriod,UpdateFrequency,LicenseText,StorageZone,Status
DS001,"CDC PLACES County Data, 2025 release",Centers for Disease Control and Prevention,https://data.cdc.gov/api/views/swc5-untb/rows.csv?accessType=DOWNLOAD,Structured,County,2025,Annual or source-defined,Public domain (U.S. government work),raw/cdc_places_county,Ingested
DS002,U.S. Chronic Disease Indicators,Centers for Disease Control and Prevention,https://data.cdc.gov/api/views/hksd-2xuw/rows.csv?accessType=DOWNLOAD,Structured,State/Territory,Multiple years,Annual or source-defined,Public domain (U.S. government work),raw/cdc_chronic_disease_indicators,Ingested
DS003,2025 County Health Release National Data,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/2025%20County%20Health%20Rankings%20Data%20-%20v4.xlsx,Structured,County/State/National,2025,Annual or source-defined,Public use with attribution (CHR&R terms),raw/county_health_rankings,Ingested
DS004,2025 CHR CSV Analytic Data,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/analytic_data2025_v3.csv,Structured,County/State,2025,Annual or source-defined,Public use with attribution (CHR&R terms),raw/county_health_rankings,Ingested
DS005,2025 County Health Rankings Data Dictionary,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/DataDictionary_2025.xlsx,Semi-structured,Documentation,2025,Annual or source-defined,Public use with attribution (CHR&R terms),raw/county_health_rankings,Ingested
DS006,2024 ACS 5-Year Subject Table S0101: Age and Sex,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S0101)&for=county:*&key=<CENSUS_API_KEY>",Structured,County,2024,Annual or source-defined,Public domain (U.S. government work),raw/census_acs_5year,Ingested
DS007,2024 ACS 5-Year Subject Table S1901: Income,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S1901)&for=county:*&key=<CENSUS_API_KEY>",Structured,County,2024,Annual or source-defined,Public domain (U.S. government work),raw/census_acs_5year,Ingested
DS008,2024 ACS 5-Year Subject Table S1701: Poverty,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S1701)&for=county:*&key=<CENSUS_API_KEY>",Structured,County,2024,Annual or source-defined,Public domain (U.S. government work),raw/census_acs_5year,Ingested
DS009,2024 ACS 5-Year Subject Table S2701: Health Insurance,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S2701)&for=county:*&key=<CENSUS_API_KEY>",Structured,County,2024,Annual or source-defined,Public domain (U.S. government work),raw/census_acs_5year,Ingested
DS010,2025 County Health Rankings & Roadmaps Report,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/2025%20CHRR%20Report_0.pdf,Unstructured,National,2025,Annual,Public use with attribution (CHR&R terms),raw/unstructured_documents,Ingested
