GeographyID,ParentGeographyID,GeographyType,GeographyName,StateCode,CountyFIPS,ZCTA,CountryCode
1,,Nation,United States,,,,US
100,1,State,Alabama,AL,,,US
101,1,State,Alaska,AK,,,US
102,1,State,Arizona,AZ,,,US
103,1,State,Arkansas,AR,,,US
104,1,State,California,CA,,,US
105,1,State,Colorado,CO,,,US
106,1,State,Connecticut,CT,,,US
107,1,State,Delaware,DE,,,US
108,1,State,District of Columbia,DC,,,US
109,1,State,Florida,FL,,,US
110,1,State,Georgia,GA,,,US
111,1,State,Hawaii,HI,,,US
112,1,State,Idaho,ID,,,US
113,1,State,Illinois,IL,,,US
114,1,State,Indiana,IN,,,US
115,1,State,Iowa,IA,,,US
116,1,State,Kansas,KS,,,US
117,1,State,Kentucky,KY,,,US
118,1,State,Louisiana,LA,,,US
119,1,State,Maine,ME,,,US
120,1,State,Maryland,MD,,,US
121,1,State,Massachusetts,MA,,,US
122,1,State,Michigan,MI,,,US
123,1,State,Minnesota,MN,,,US
124,1,State,Mississippi,MS,,,US
125,1,State,Missouri,MO,,,US
126,1,State,Montana,MT,,,US
127,1,State,Nebraska,NE,,,US
128,1,State,Nevada,NV,,,US
129,1,State,New Hampshire,NH,,,US
130,1,State,New Jersey,NJ,,,US
131,1,State,New Mexico,NM,,,US
132,1,State,New York,NY,,,US
133,1,State,North Carolina,NC,,,US
134,1,State,North Dakota,ND,,,US
135,1,State,Ohio,OH,,,US
136,1,State,Oklahoma,OK,,,US
137,1,State,Oregon,OR,,,US
138,1,State,Pennsylvania,PA,,,US
139,1,State,Rhode Island,RI,,,US
140,1,State,South Carolina,SC,,,US
141,1,State,South Dakota,SD,,,US
142,1,State,Tennessee,TN,,,US
143,1,State,Texas,TX,,,US
144,1,State,Utah,UT,,,US
145,1,State,Vermont,VT,,,US
146,1,State,Virginia,VA,,,US
147,1,State,Washington,WA,,,US
148,1,State,West Virginia,WV,,,US
149,1,State,Wisconsin,WI,,,US
150,1,State,Wyoming,WY,,,US
1000,100,County,Autauga,AL,01001,,US
1001,100,County,Baldwin,AL,01003,,US
1002,100,County,Barbour,AL,01005,,US
1003,100,County,Bibb,AL,01007,,US
1004,100,County,Blount,AL,01009,,US
1005,100,County,Bullock,AL,01011,,US
1006,100,County,Butler,AL,01013,,US
1007,100,County,Calhoun,AL,01015,,US
1008,100,County,Chambers,AL,01017,,US
1009,100,County,Cherokee,AL,01019,,US
1010,100,County,Chilton,AL,01021,,US
1011,100,County,Choctaw,AL,01023,,US
1012,100,County,Clarke,AL,01025,,US
1013,100,County,Clay,AL,01027,,US
1014,100,County,Cleburne,AL,01029,,US
