IndicatorID,IndicatorCode,IndicatorName,DiseaseCategory,FactorCategory,Unit,SourceDataset,Description
1,ARTHRITIS,Arthritis among adults,Health Outcomes,Disease outcome,%,DS001,Arthritis among adults
2,CASTHMA,Current asthma among adults,Health Outcomes,Disease outcome,%,DS001,Current asthma among adults
3,STROKE,Stroke among adults,Health Outcomes,Disease outcome,%,DS001,Stroke among adults
4,DISABILITY,Any disability among adults,Disability,Disability,%,DS001,Any disability among adults
5,OBESITY,Obesity among adults,Health Outcomes,Disease outcome,%,DS001,Obesity among adults
6,DIABETES,Diagnosed diabetes among adults,Health Outcomes,Disease outcome,%,DS001,Diagnosed diabetes among adults
7,DEPRESSION,Depression among adults,Health Outcomes,Disease outcome,%,DS001,Depression among adults
8,HEARING,Hearing disability among adults,Disability,Disability,%,DS001,Hearing disability among adults
9,BINGE,Binge drinking among adults,Health Risk Behaviors,Behavioral risk factor,%,DS001,Binge drinking among adults
10,BPHIGH,High blood pressure among adults,Health Outcomes,Disease outcome,%,DS001,High blood pressure among adults
11,VISION,Vision disability among adults,Disability,Disability,%,DS001,Vision disability among adults
12,MOBILITY,Mobility disability among adults,Disability,Disability,%,DS001,Mobility disability among adults
13,SELFCARE,Self-care disability among adults,Disability,Disability,%,DS001,Self-care disability among adults
14,MHLTH,Frequent mental distress among adults,Health Status,Health status,%,DS001,Frequent mental distress among adults
15,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,Disease outcome,%,DS001,High cholesterol among adults who have ever been screened
16,PHLTH,Frequent physical distress among adults,Health Status,Health status,%,DS001,Frequent physical distress among adults
17,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,Prevention measure,%,DS001,Colorectal cancer screening among adults aged 45–75 years
18,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,Behavioral risk factor,%,DS001,No leisure-time physical activity among adults
19,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,Disease outcome,%,DS001,Chronic obstructive pulmonary disease among adults
20,INDEPLIVE,Independent living disability among adults,Disability,Disability,%,DS001,Independent living disability among adults
21,CHD,Coronary heart disease among adults,Health Outcomes,Disease outcome,%,DS001,Coronary heart disease among adults
22,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,Prevention measure,%,DS001,Mammography use among women aged 50-74 years
23,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,Prevention measure,%,DS001,Visits to doctor for routine checkup within the past year among adults
24,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,Prevention measure,%,DS001,Taking medicine to control high blood pressure among adults with high blood pressure
25,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,Behavioral risk factor,%,DS001,Current cigarette smoking among adults
26,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,Other,%,DS001,Housing insecurity in the past 12 months among adults
27,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,Other,%,DS001,Utility services shut-off threat in the past 12 months among adults
28,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,Other,%,DS001,Food insecurity in the past 12 months among adults
29,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,Disease outcome,%,DS001,All teeth lost among adults aged >=65 years
30,GHLTH,Fair or poor self-rated health status among adults,Health Status,Health status,%,DS001,Fair or poor self-rated health status among adults
31,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,Other,%,DS001,Lack of reliable transportation in the past 12 months among adults
