ObservationID,DatasetID,GeographyID,IndicatorID,ObservationYear,PopulationGroup,StratificationType,StratificationValue,MeasureValue,LowerConfidenceLimit,UpperConfidenceLimit,Notes
1,DS001,3110,37,2023,Adults 18+,Overall,Overall,10.2,7.6,13.0,"Crude prevalence, county level"
2,DS001,3485,37,2023,Adults 18+,Overall,Overall,14.4,11.5,17.9,"Crude prevalence, county level"
3,DS001,2159,37,2023,Adults 18+,Overall,Overall,7.8,6.1,9.7,"Crude prevalence, county level"
4,DS001,2461,37,2023,Adults 18+,Overall,Overall,11.0,8.4,13.9,"Crude prevalence, county level"
5,DS001,3338,37,2023,Adults 18+,Overall,Overall,12.2,9.9,14.8,"Crude prevalence, county level"
6,DS001,2272,37,2023,Adults 18+,Overall,Overall,7.3,5.4,9.5,"Crude prevalence, county level"
7,DS001,3918,37,2023,Adults 18+,Overall,Overall,9.6,7.3,12.3,"Crude prevalence, county level"
8,DS001,3434,37,2023,Adults 18+,Overall,Overall,10.2,7.9,13.2,"Crude prevalence, county level"
9,DS001,2933,1,2023,Adults 18+,Overall,Overall,34.4,30.6,38.3,"Crude prevalence, county level"
10,DS001,3450,1,2023,Adults 18+,Overall,Overall,35.1,31.2,38.9,"Crude prevalence, county level"
11,DS001,1847,1,2023,Adults 18+,Overall,Overall,26.5,23.8,29.2,"Crude prevalence, county level"
12,DS001,2348,1,2023,Adults 18+,Overall,Overall,28.1,24.8,31.6,"Crude prevalence, county level"
13,DS001,3315,1,2023,Adults 18+,Overall,Overall,28.7,25.7,31.8,"Crude prevalence, county level"
14,DS001,2411,1,2023,Adults 18+,Overall,Overall,32.6,29.1,36.2,"Crude prevalence, county level"
15,DS001,3950,1,2023,Adults 18+,Overall,Overall,29.7,26.5,33.0,"Crude prevalence, county level"
16,DS001,3337,1,2023,Adults 18+,Overall,Overall,33.7,30.1,37.4,"Crude prevalence, county level"
17,DS001,3138,9,2023,Adults 18+,Overall,Overall,12.9,10.4,15.6,"Crude prevalence, county level"
18,DS001,3579,9,2023,Adults 18+,Overall,Overall,14.6,11.7,17.7,"Crude prevalence, county level"
19,DS001,2221,9,2023,Adults 18+,Overall,Overall,17.0,14.6,19.5,"Crude prevalence, county level"
20,DS001,2440,9,2023,Adults 18+,Overall,Overall,12.4,10.1,15.0,"Crude prevalence, county level"
21,DS001,3405,9,2023,Adults 18+,Overall,Overall,17.0,13.9,20.4,"Crude prevalence, county level"
22,DS001,2286,9,2023,Adults 18+,Overall,Overall,16.1,13.2,19.3,"Crude prevalence, county level"
23,DS001,3822,9,2023,Adults 18+,Overall,Overall,11.6,9.5,13.9,"Crude prevalence, county level"
24,DS001,3313,9,2023,Adults 18+,Overall,Overall,18.2,15.1,21.7,"Crude prevalence, county level"
25,DS001,3129,10,2023,Adults 18+,Overall,Overall,37.1,33.1,41.1,"Crude prevalence, county level"
26,DS001,3452,10,2023,Adults 18+,Overall,Overall,42.6,38.2,47.1,"Crude prevalence, county level"
27,DS001,1927,10,2023,Adults 18+,Overall,Overall,33.7,29.5,37.6,"Crude prevalence, county level"
28,DS001,2289,10,2023,Adults 18+,Overall,Overall,40.2,36.2,44.8,"Crude prevalence, county level"
29,DS001,3319,10,2023,Adults 18+,Overall,Overall,38.9,36.0,42.0,"Crude prevalence, county level"
30,DS001,2349,10,2023,Adults 18+,Overall,Overall,33.4,29.5,37.2,"Crude prevalence, county level"
31,DS001,3836,10,2023,Adults 18+,Overall,Overall,43.6,39.2,48.2,"Crude prevalence, county level"
32,DS001,3164,10,2023,Adults 18+,Overall,Overall,43.0,38.8,47.4,"Crude prevalence, county level"
33,DS001,3076,24,2023,Adults 18+,Overall,Overall,80.0,77.5,82.3,"Crude prevalence, county level"
34,DS001,3658,24,2023,Adults 18+,Overall,Overall,82.0,79.4,84.2,"Crude prevalence, county level"
35,DS001,1950,24,2023,Adults 18+,Overall,Overall,79.5,76.5,82.2,"Crude prevalence, county level"
36,DS001,2393,24,2023,Adults 18+,Overall,Overall,80.6,77.3,83.7,"Crude prevalence, county level"
37,DS001,3187,24,2023,Adults 18+,Overall,Overall,76.4,73.9,78.6,"Crude prevalence, county level"
38,DS001,2472,24,2023,Adults 18+,Overall,Overall,79.8,77.1,82.3,"Crude prevalence, county level"
39,DS001,3880,24,2023,Adults 18+,Overall,Overall,83.9,81.3,86.2,"Crude prevalence, county level"
40,DS001,3406,24,2023,Adults 18+,Overall,Overall,77.2,73.9,80.2,"Crude prevalence, county level"
41,DS001,3103,32,2023,Adults 18+,Overall,Overall,9.7,8.7,10.7,"Crude prevalence, county level"
42,DS001,3598,32,2023,Adults 18+,Overall,Overall,8.2,7.4,9.1,"Crude prevalence, county level"
43,DS001,1988,32,2023,Adults 18+,Overall,Overall,9.8,8.7,10.8,"Crude prevalence, county level"
44,DS001,2259,32,2023,Adults 18+,Overall,Overall,12.2,11.0,13.5,"Crude prevalence, county level"
45,DS001,3229,32,2023,Adults 18+,Overall,Overall,9.5,8.6,10.5,"Crude prevalence, county level"
46,DS001,2442,32,2023,Adults 18+,Overall,Overall,7.7,6.9,8.5,"Crude prevalence, county level"
47,DS001,3737,32,2023,Adults 18+,Overall,Overall,9.0,8.1,10.0,"Crude prevalence, county level"
48,DS001,3243,32,2023,Adults 18+,Overall,Overall,7.6,6.8,8.4,"Crude prevalence, county level"
49,DS001,3134,2,2023,Adults 18+,Overall,Overall,10.4,9.2,11.8,"Crude prevalence, county level"
