tablename,position,columnname,datatype,nullable,keytype,referencestable
account,1,accountid,integer,NO,PK,
account,2,accountname,character varying(200),NO,,
account,3,companycode,character varying(20),NO,,
account,4,address1,character varying(200),YES,,
account,5,city,character varying(100),YES,,
account,6,state,character varying(2),YES,,
account,7,zip,character varying(10),YES,,
account,8,accounttype,character varying(30),NO,,
account,9,status,character varying(20),NO,,
account,10,startdate,date,YES,,
account,11,enddate,date,YES,,
account_admin,1,adminid,integer,NO,PK,
account_admin,2,adminname,character varying(200),NO,,
account_admin,3,phone,character varying(30),YES,,
account_admin,4,emailaddress,character varying(200),YES,,
account_admin,5,specialty,character varying(50),YES,,
account_admin_assignment,1,accountid,integer,NO,"PK,FK",account
account_admin_assignment,2,adminid,integer,NO,"PK,FK",account_admin
account_admin_assignment,3,productline,character varying(20),NO,PK,
account_admin_assignment,4,roletype,character varying(30),YES,,
account_admin_assignment,5,startdate,date,YES,,
account_admin_assignment,6,enddate,date,YES,,
account_alias,1,aliasid,integer,NO,PK,
account_alias,2,accountid,integer,NO,FK,account
account_alias,3,sourcesystem,character varying(50),NO,,
account_alias,4,sourcerecordid,character varying(50),YES,,
account_alias,5,aliasname,character varying(200),YES,,
account_alias,6,aliasaddress,character varying(200),YES,,
account_alias,7,duplicateflag,character varying(1),YES,,
account_alias,8,datereceived,date,YES,,
account_billing_account,1,accountid,integer,NO,"PK,FK",account
account_billing_account,2,billingaccountid,integer,NO,"PK,FK",billing_account
account_billing_account,3,productline,character varying(20),NO,PK,
account_billing_account,4,employeeclass,character varying(30),YES,,
account_billing_account,5,relationshiptype,character varying(30),YES,,
account_billing_account,6,startdate,date,YES,,
account_billing_account,7,enddate,date,YES,,
account_geography,1,accountid,integer,NO,"PK,FK",account
account_geography,2,geographyid,integer,NO,"PK,FK",geographic_area
account_geography,3,relationshiptype,character varying(30),NO,PK,
account_geography,4,startdate,date,YES,,
account_geography,5,enddate,date,YES,,
account_manager_contract,1,accountid,integer,NO,"PK,FK",account
account_manager_contract,2,managercontractid,integer,NO,"PK,FK",manager_contract
account_manager_contract,3,roletype,character varying(30),NO,PK,
account_manager_contract,4,startdate,date,YES,,
account_manager_contract,5,enddate,date,YES,,
account_member,1,accountid,integer,NO,"PK,FK",account
account_member,2,customerid,integer,NO,"PK,FK",customer
account_member,3,startdate,date,NO,PK,
account_member,4,employmenttype,character varying(30),YES,,
account_member,5,status,character varying(20),YES,,
account_member,6,enddate,date,YES,,
account_relationship,1,masteraccountid,integer,NO,"PK,FK",account
account_relationship,2,memberaccountid,integer,NO,"PK,FK",account
account_relationship,3,relationshiptype,character varying(30),NO,PK,
account_relationship,4,startdate,date,YES,,
