DatasetID,DatasetName,SourceOrganization,SourceURL,FileFormat,DataClassification,GeographicLevel,TimePeriod,MainSubject,KeyFields,StorageZone,RelatedEDAEntity,UpdateFrequency,License,Notes
DS001,"CDC PLACES County Data, 2025 release",Centers for Disease Control and Prevention,https://data.cdc.gov/api/views/swc5-untb/rows.csv?accessType=DOWNLOAD,CSV,Structured,County,2025,Chronic disease outcomes and health risk behaviors,"StateAbbr, CountyName, CountyFIPS, MeasureId",raw/cdc_places_county,"ACCOUNT, CUSTOMER, CONTRACT",Annual or source-defined,Public domain (U.S. government work),Downloaded from the official source for Project Part II.
DS002,U.S. Chronic Disease Indicators,Centers for Disease Control and Prevention,https://data.cdc.gov/api/views/hksd-2xuw/rows.csv?accessType=DOWNLOAD,CSV,Structured,State/Territory,Multiple years,Chronic disease indicators,"LocationAbbr, LocationID, TopicID, QuestionID, YearStart",raw/cdc_chronic_disease_indicators,"ACCOUNT, CONTRACT",Annual or source-defined,Public domain (U.S. government work),Downloaded from the official source for Project Part II.
DS003,2025 County Health Release National Data,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/2025%20County%20Health%20Rankings%20Data%20-%20v4.xlsx,XLSX,Structured,County/State/National,2025,"Health outcomes, behaviors, clinical care, social and economic factors","FIPS, State Abbreviation, County Name",raw/county_health_rankings,"ACCOUNT, CUSTOMER, CONTRACT",Annual or source-defined,Public use with attribution (CHR&R terms),Downloaded from the official source for Project Part II.
DS004,2025 CHR CSV Analytic Data,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/analytic_data2025_v3.csv,CSV,Structured,County/State,2025,Analysis-ready county health measures,"fipscode, statecode, county",raw/county_health_rankings,"ACCOUNT, CUSTOMER, CONTRACT",Annual or source-defined,Public use with attribution (CHR&R terms),Downloaded from the official source for Project Part II.
DS005,2025 County Health Rankings Data Dictionary,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/DataDictionary_2025.xlsx,XLSX,Semi-structured,Documentation,2025,Definitions and metadata for County Health Rankings measures,Variable Name,raw/county_health_rankings,DATASET_METADATA,Annual or source-defined,Public use with attribution (CHR&R terms),Downloaded from the official source for Project Part II.
DS006,2024 ACS 5-Year Subject Table S0101: Age and Sex,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S0101)&for=county:*&key=<CENSUS_API_KEY>",CSV,Structured,County,2024,"Age, sex, and population profile","state, county, NAME",raw/census_acs_5year,"ACCOUNT, CUSTOMER, REGION",Annual or source-defined,Public domain (U.S. government work),Downloaded from the official source for Project Part II.
DS007,2024 ACS 5-Year Subject Table S1901: Income,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S1901)&for=county:*&key=<CENSUS_API_KEY>",CSV,Structured,County,2024,Household income and earnings,"state, county, NAME",raw/census_acs_5year,"ACCOUNT, CUSTOMER, REGION",Annual or source-defined,Public domain (U.S. government work),Downloaded from the official source for Project Part II.
DS008,2024 ACS 5-Year Subject Table S1701: Poverty,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S1701)&for=county:*&key=<CENSUS_API_KEY>",CSV,Structured,County,2024,Poverty status and population groups,"state, county, NAME",raw/census_acs_5year,"ACCOUNT, CUSTOMER, REGION",Annual or source-defined,Public domain (U.S. government work),Downloaded from the official source for Project Part II.
DS009,2024 ACS 5-Year Subject Table S2701: Health Insurance,U.S. Census Bureau,"https://api.census.gov/data/2024/acs/acs5/subject?get=NAME,group(S2701)&for=county:*&key=<CENSUS_API_KEY>",CSV,Structured,County,2024,Health insurance coverage,"state, county, NAME",raw/census_acs_5year,"ACCOUNT, CUSTOMER, REGION",Annual or source-defined,Public domain (U.S. government work),Downloaded from the official source for Project Part II.
DS010,2025 County Health Rankings & Roadmaps Report,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/sites/default/files/media/document/2025%20CHRR%20Report_0.pdf,PDF,Unstructured,National,2025,Annual national findings report on community health,None (unstructured document),raw/unstructured_documents,"DATASET, DATA_ASSET",Annual,Public use with attribution (CHR&R terms),Official annual report PDF. Stored as an unstructured data asset.
