Zone,RelativePath,FileName,Extension,FileSizeBytes,RowCount,ColumnCount,SHA256
raw,raw/cdc_chronic_disease_indicators/us_chronic_disease_indicators.csv,us_chronic_disease_indicators.csv,csv,111334061,398793,34,661bb74149613265877d2bb9544e7b99fb29177f07cad2fc68aefc6d8f101f78
raw,raw/cdc_places_county/places_county_2025.csv,places_county_2025.csv,csv,53396904,229298,22,2dc8d4ae93543a217973bdc2d774855134ca01d8adf00c77a082acc4b8ce3377
raw,raw/census_acs_5year/acs5_2024_S0101_age_and_sex_county.csv,acs5_2024_S0101_age_and_sex_county.csv,csv,10406154,3222,917,303bf4368341281a930eb9f872b1c0894f6e6946fb7bc3856c1e96e1a0aff27b
raw,raw/census_acs_5year/acs5_2024_S1701_poverty_county.csv,acs5_2024_S1701_poverty_county.csv,csv,7796442,3222,749,c252b24288a633a3235eb786ebc0b9ced08d6d272b5eb3098ac86b2af8331113
raw,raw/census_acs_5year/acs5_2024_S1901_income_county.csv,acs5_2024_S1901_income_county.csv,csv,3215603,3222,261,e9821353d890b66532c5651f6042022a99bb4792ea6c9f22a7c12c1ce9e17b6a
raw,raw/census_acs_5year/acs5_2024_S2701_health_insurance_county.csv,acs5_2024_S2701_health_insurance_county.csv,csv,10879359,3222,1225,dc2989703b7c21d381dc5c5261c7f5c7ec2143399fe979c5da71f824a5c4808b
raw,raw/county_health_rankings/county_health_rankings_2025.xlsx,county_health_rankings_2025.xlsx,xlsx,16002176,,,29775f15f4c1598fc644d79993d119eb84cc53b41e60ebc09dd8f04214c49bd2
raw,raw/county_health_rankings/county_health_rankings_analytic_2025.csv,county_health_rankings_analytic_2025.csv,csv,13085361,3205,796,5a129b856489fe6646013d7fcf85397dd576f6d67a65f5db72738a1df29643de
raw,raw/county_health_rankings/county_health_rankings_data_dictionary_2025.xlsx,county_health_rankings_data_dictionary_2025.xlsx,xlsx,29136,,,b98c728a120f129527e98038b9468a79c8a1dddddc4e96913588a018a1dbc115
raw,raw/unstructured_documents/chr_2025_national_report.pdf,chr_2025_national_report.pdf,pdf,14580902,,,1d2e55927cd5bab403a60b2cc2156afd6558e3629af1fa706b996ccfcbef328b
processed,processed/README.md,README.md,md,212,,,cad5c3a17c60ca8a058ec9d68e778d8dc61ed0b11203faecb392ff64a4273087
processed,processed/cdc_places_county_clean.csv,cdc_places_county_clean.csv,csv,29597615,229298,14,c74e87be8adef6072deb52d5487472e995da24cc6e89075a95871eac0492d60d
curated,curated/data_asset.csv,data_asset.csv,csv,2000,9,12,2972b4466cec5f3eacb188e413bc4b001e98a08dce5de7210ea423ee5ac61beb
curated,curated/dataset.csv,dataset.csv,csv,2671,9,10,1c7c218d234bc1f8b08041c0f4e4eb3a98ea52fea1239e6414ec25d974092f2d
curated,curated/geographic_area.csv,geographic_area.csv,csv,118126,3196,8,d994a10cf6cdcfa5d0b1c20ced1e60a7bb189c014ec314719cd66e73b769ea8f
curated,curated/health_indicator.csv,health_indicator.csv,csv,26485,148,8,f7fc37d8393c7ac68af42b1ac4c5aa3adfc75f50798a014ac47a6d4cd2012679
curated,curated/health_observation_sample.csv,health_observation_sample.csv,csv,31117,320,12,a8c61f0809e883a13fa5684f46bf6f58296a234a56f21f602d5dfbf4885bd578
metadata,metadata/data_dictionary.csv,data_dictionary.csv,csv,4347,61,7,f15631ce107a984b60bc0e174db734a6fe19a534402aca5e0b96fde6b6050e90
metadata,metadata/data_quality_report.csv,data_quality_report.csv,csv,490,4,12,06e617ebcf9a731017517682c668620b10db05b0e6b3afc25788c8aca8c7d473
metadata,metadata/dataset_catalog.csv,dataset_catalog.csv,csv,4736,10,15,d74dd52312cdbcadbec96f7dc055362ca828aa4538cd7f99e7f82cfc1f38bf06
metadata,metadata/download_manifest.json,download_manifest.json,json,4788,,,aee9056f1ff10b3ea3b167c0a45ff62dcfd5b4efdc7baa0a7a84965221c5c82d
metadata,metadata/dry_run_plan.txt,dry_run_plan.txt,txt,1582,,,7abcf32434ba44d7dbeda87b3926659f2f7f131add12e727d88bfbd86feace77
metadata,metadata/file_inventory.csv,file_inventory.csv,csv,4102,26,8,530dc7538f845ee2ca061588d673dc6a7f563ea82b2b0cad82377b5e15561295
metadata,metadata/lineage.csv,lineage.csv,csv,1272,8,7,2654c9c9ca6a590579d76379bdff4c6cad1228b09a9db1b658ce604220b7b5ca
metadata,metadata/validation_results.csv,validation_results.csv,csv,692,14,3,e8447d52f0f01a6d8678b2092b1a8bb6b7fef80798c5dd7041c850c05c4b330c
schema,schema/README.md,README.md,md,199,,,04864a20f620913128448f387046d9068de10d34c626ae4d0b93c4667b7bad13
